Title,Company,Location,Summary Salary,Summary Type,Job URL
Software Engineer Intern (Summer 2025),Dropbox,Remote,"$8,000 - $9,500 a month",Internship,https://www.indeed.com/rc/clk?jk=df0a1fdde6574dcb&bb=NPmdRZb5ndxPSMJ-DkHSMlYmluAw31uczrZxJs_c5By-z1xkLdabNTgsfHW26YgZQPxfOAZF23RvHmVLHBVdM76nmP6n2uDww-H4xSeg8v9bAw6FYU8FdIXDGGzyihXf&xkcb=SoB167M33IFi_EAVEL0ObzkdCdPP&fccid=f1d7bca9913021e8&vjs=3
Software Engineer Intern (Spring),NLC Insurance,"Norwich, CT 06360",$25 - $30 an hour,"Full-time
+1",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFJ-X5zzjLxkXhhY9mmEz9cLSWohYzmKaiUSRnY7m2CUiq1b_lmuKqAYk63RU-jSpRylfq0c7rFcCqIuAXtBJdYfy7SOF6BXaPCen4MTWCIH9zEa2rsJMkpGowav9p_L5TjEeHJRp3Eap4VnMmgrinl8LFAnqVhb5zwg6YYO4t_WAzEbJ71a-cEx5YO9J2Jh46hTWL5Gr1C9EPoxQUnl4GMHY-eX1vRQFsRVyNlnOgASWk9XxOdrD8CGy2FKbf2Wjk2Je79IC7NzFe2cFwMBKKWssRcZFQdLsO1gMljxh4yK3ytWNqaon9OreSMQUhcBqyPcwOtKWnW4XSB4ncFXRtvLh_IjQzj3bnEL5_MqzHsO4xS8tHXOzeNt92hp32lXpT7r6GwZrSuZw43wAYMLtWIlRssXv5zFI-ZW9I_AiEeYhJjLqHpgNab5Bh4fUhXYtL-4C9U__ziWwfnpzVz1WJgzH6ZAPFNV9A_D5lc2-sNHcolC8Clr_vajmEMvWmsyotqbEmKjybZkRd4B4JxsNYxsOrznJ2hs0CK4_pbEFMAImmQmPcbDY02NLRYFA4LGZG9p1p3C37l9S7fZmUKSR0bxYyWnaVza0mtBOyVpWWGu3xhpLh8GFifH3hs7kpv1IaAlQeTIc0qX82uKdndt_OrOpr6s1zQNxwiFbAfo-hrA==&xkcb=SoAc6_M33IFi_EAVEL0NbzkdCdPP&camk=nUmJqO2E8rh9zSddKq0Z0Q==&p=1&fvj=0&vjs=3
Software Engineer Intern,New Leader Manufacturing,"Cedar Rapids, IA 52404",,,https://www.indeed.com/rc/clk?jk=9e24f51981b70a4a&bb=NPmdRZb5ndxPSMJ-DkHSMmPIN8u9uDGunQwmfRbxGPFksrl8odYzRAB0eiP6cfFJgAAU7LnhfI5Td6jCWPTx0L9uO392Ap1_9rAwDRxB-Aj4T-tVSUEPF5xhXM8XIaJN&xkcb=SoBc67M33IFi_EAVEL0MbzkdCdPP&fccid=e5920ff4e45caa23&vjs=3
Software Engineer Intern,Simons Foundation,"New York, NY 10010",,,https://www.indeed.com/rc/clk?jk=f342923cd6f68554&bb=NPmdRZb5ndxPSMJ-DkHSMisPzmzj4nOBGj-A0Ts8RoXFsZjcEBz6eXfAppgM00bTSu2nXL9Ch8whLEtFjyXP-rRW_Km7Uj5CRhPl-U85K8P5vFUgFljdGExt34SHmcZz&xkcb=SoC167M33IFi_EAVEL0DbzkdCdPP&fccid=8844f3447ed4e2d6&vjs=3
Software Engineer Intern,WALGREENS,"Chicago, IL 60607",$20.82 - $31.25 an hour,Internship,https://www.indeed.com/rc/clk?jk=821b0be462be8a80&bb=NPmdRZb5ndxPSMJ-DkHSMgBR5uAbFImvZ9jHlkDI71vxAf9MUoE1RPBYcm_jFr5P-TljoEcOMz-qS3q0JyE2pJ9O1Djyi0C9a7QZDOJ7ruHFRybWxpKbIA%3D%3D&xkcb=SoAB67M33IFi_EAVEL0CbzkdCdPP&fccid=fefd75f5326e1589&vjs=3
Software Engineer - Intern (Summer),Snackpass Part Time Openings,"Remote in San Francisco Bay Area, CA",$45 an hour,"Internship
+1",https://www.indeed.com/rc/clk?jk=4e50de156ac19ebd&bb=NPmdRZb5ndxPSMJ-DkHSMk8PABCTt41xO43qx3oPMkJEYzIBU1GxBSfVzv8wTRaVR0iucr-khiFYvDo_NZlaObC7V7-SggBKq6Ich9Gq9RW1I_uTnUhLy1tNPFNLzK_M&xkcb=SoCc67M33IFi_EAVEL0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Creo Software Engineer Intern,PTC Inc.,"Boston, MA 02210",,Internship,https://www.indeed.com/rc/clk?jk=1eb31b167d9ccd76&bb=NPmdRZb5ndxPSMJ-DkHSMh7e-Wh7DDqCAHiIk-f2lejJMPaAjO8NDoqBvvxIXYbSEvHfFFFRt97Ttd1A97LpJADxCknk907vuKXKYVxRmJWQPsCm_omW6UfBOSMrMQEb&xkcb=SoAo67M33IFi_EAVEL0AbzkdCdPP&fccid=114d7031274e1ed8&vjs=3
Software Engineer Intern,CNH Industrial,"Sioux Falls, SD",$20.50 - $35.00 an hour,Internship,https://www.indeed.com/rc/clk?jk=cdb7d6c660fc7a53&bb=NPmdRZb5ndxPSMJ-DkHSMqhGGOZVHmfge1EdUyce4ZUPxt7AEOb4BASPlOVyf3nVpX1AQTy3yYMADT-Qak9ler1CBL3Hc-nIAaMUMWe1GRbRYy-mGlAaZAAxTmveq7qc&xkcb=SoCm67M33IFi_EAVEL0HbzkdCdPP&fccid=e2c5b29a1878dd23&vjs=3
2025 Summer Intern - Software Engineer Intern,Servco Pacific Inc.,"Honolulu, HI 96819",$17 an hour,"Full-time
+1",https://www.indeed.com/rc/clk?jk=37f566c7ed9e59d1&bb=NPmdRZb5ndxPSMJ-DkHSMvq5FWL7rQbHScT5pzu52bFe6bYlwDk6b_RM8XsY6MiKRa_LX5n0y2g_M4kfzfuktSuWmvnMtzdUJ1FiHupBUAxswNRS28uGGwKLL_L1ioET&xkcb=SoAS67M33IFi_EAVEL0GbzkdCdPP&fccid=552f8cf5fc4da6a4&vjs=3
"Intern, Software Engineer",Knorr-Bremse,"Watertown, NY",,,https://www.indeed.com/rc/clk?jk=cb71a4dc5b5e1b40&bb=NPmdRZb5ndxPSMJ-DkHSMh7e-Wh7DDqC8y5aoxQycv5d7q2sG_EQCcwzoRrMUhP91joE3z_kfiTaobQ9GxdD9fHtA6DwYK1FuS44k9a0QiJl8iJhLD0zUb6SK9zdu88g&xkcb=SoCP67M33IFi_EAVEL0FbzkdCdPP&fccid=a23b36e1d6d2d53f&vjs=3
